DT,TYPE,S_UAH,S_FXU,S_FXD
2021-11-01,LFONET,186439570831.8299,2295738386.22,87202567.23149681
2021-11-01,LSGNET,316930309032.84985,190917834824.39972,7251926189.368129
2021-11-01,OVDPp,397195527000,84876522988.9,3223995707.3253193
2021-12-01,DFOOS,422432145694.1699,268575383586.33023,9883578860.094807
2021-12-01,DSG,503671904108.6603,234491930576.8899,8629307187.297005
2021-12-01,DSNBp,135781000000,0,0.0
2021-12-01,LFONET,193158548043.17038,2261770523.9099994,83233195.23182169
2021-12-01,LSGNET,327508926337.68024,200882882642.01,7392493629.62292
2021-12-01,OVDPp,407774426000,82623057463.7,3040529974.118548
2022-01-01,DFOOS,451802246212.3498,265651667924.49014,9738606943.437984
2022-01-01,DSG,557969222192.0602,231350123713.56,8481135988.208897
2022-01-01,DSNBp,205614000000,0,0.0
2022-01-01,LFONET,197319269100.5395,2154728715.5099974,78990868.73437399
2022-01-01,LSGNET,318209512838.1098,204457392452.6099,7495267006.349764
2022-01-01,OVDPp,443861030000,87911510594.0,3222775351.526126
2022-02-01,DFOOS,433101000437.33997,271634137602.99973,9437016443.324226
2022-02-01,DSG,521756022324.29987,256301697175.20007,8904342259.916142
2022-02-01,DSNBp,117846000000,0,0.0
2022-02-01,LFONET,203519733971.19003,2172931968.6800003,75491228.38392298
2022-02-01,LSGNET,320851628977.30945,216459959202.5498,7520174792.246707
2022-02-01,OVDPp,451143008000,91705626845.40002,3186004219.2128243
2022-03-01,DFOOS,435624863144.53955,263770000938.21005,9016267392.409813
2022-03-01,DSG,485394863365.9707,243191202744.82004,8312836575.917882
2022-03-01,DSNBp,65966000000,0,0.0
2022-03-01,LFONET,208684765531.06,2174990233.4599996,74346185.88544141
2022-03-01,LSGNET,334726157371.7805,229477479862.2401,7844069877.60136
2022-03-01,OVDPp,435591026000,74966365164.2,2562523377.7657757
2022-04-01,DFOOS,501370190984.04016,260669750864.84006,8910293689.769577
2022-04-01,DSG,486373865637.07983,222027383252.24005,7589408381.236649
2022-04-01,DSNBp,141568000000,0,0.0
2022-04-01,LFONET,198602555327.18985,2073286676.4899979,70869723.58442515
2022-04-01,LSGNET,333322279059.8297,225205825878.98987,7698054885.813656
2022-04-01,OVDPp,449685341000,73891347577.8,2525776795.6068897
2022-05-01,DFOOS,509805993786.5207,257311580376.36008,8795503672.080921
2022-05-01,DSG,520745610062.26,225338011422.4003,7702573292.761224
2022-05-01,DSNBp,167955000000,0,0.0
2022-05-01,LFONET,192057324129.38956,2012998006.619999,68808917.70677726
2022-05-01,LSGNET,342261122454.3,210762948958.1901,7204364019.640806
2022-05-01,OVDPp,452615327000,74345555384.8,2541302666.7259164
2022-06-01,DFOOS,506877672680.1208,255064258086.7001,8718685009.577885
2022-06-01,DSG,518799535009.1801,233865543168.64005,7994064008.717855
2022-06-01,DSNBp,163167000000,0,0.0
2022-06-01,LFONET,187218810146.53998,1738534803.0299978,59427131.96866165
2022-06-01,LSGNET,356920802366.48035,203200575435.08017,6945864639.259752
2022-06-01,OVDPp,447866092000,78853905557.0,2695408480.5280476
2022-07-01,DFOOS,533540037042.1598,251664106252.8901,8602459972.616201
2022-07-01,DSG,507207754622.29987,253902629041.7098,8678977847.871992
2022-07-01,DSNBp,188749000000,0,0.0
2022-07-01,LFONET,176485022291.6003,1704546320.1899984,58265327.1824549
2022-07-01,LSGNET,351037821243.2201,195911542085.8902,6696708656.870816
2022-07-01,OVDPp,441166519000,72124591494.3,2465384995.139276
2022-08-01,DFOOS,535160081500.59,310920018724.32,8502376867.703991
2022-08-01,DSG,484759241204.73987,322438219396.5998,8817352028.696756
2022-08-01,DSNBp,200715000000,0,0.0
2022-08-01,LFONET,166028735643.64014,1860047970.7300005,50864620.76016036
2022-08-01,LSGNET,351065916366.4903,237594379704.45,6497223839.699903
2022-08-01,OVDPp,432352618000,87344828313.09999,2388519886.2712817
2022-09-01,DFOOS,540770890558.2097,311338103045.31976,8513809745.117924
2022-09-01,DSG,498019661507.42896,317546820499.46027,8683592494.639112
2022-09-01,DSNBp,215116039698.82,0,0.0
2022-09-01,LFONET,156852773168.78024,1807906231.880001,49438759.80704754
2022-09-01,LSGNET,349775605394.8801,231354046539.72995,6326576531.224326
2022-09-01,OVDPp,409499368000,86368474091.0,2361820635.4905567
2022-10-01,DFOOS,548135681252.19,313027108027.9696,8559997047.41144
2022-10-01,DSG,526312258955.82996,311259167331.1499,8511651179.732066
2022-10-01,DSNBp,257558000000,0,0.0
2022-10-01,LFONET,152125008102.34006,1773659644.1799998,48502257.24200539
2022-10-01,LSGNET,343483722927.4007,220440891277.93005,6028146860.364626
2022-10-01,OVDPp,408053597000,87576640406.51001,2394858988.490399
2022-11-01,DFOOS,548733381714.1,321181697694.9896,8782991355.835056
2022-11-01,DSG,555297002406.5607,318674243592.71014,8714422854.380816
2022-11-01,DSNBp,319876000000,0,0.0
2022-11-01,LFONET,144794665098.51965,1463658910.13,40025019.00893117
2022-11-01,LSGNET,337974453119.33026,214708870177.06024,5871399784.9811
2022-11-01,OVDPp,407366257000,85546560943.09998,2339344709.4802637
2022-12-01,DFOOS,560635437505.9891,328849204500.0005,8992665962.054874
2022-12-01,DSG,569901491182.7495,320105411916.33014,8753559390.196236
2022-12-01,DSNBp,360605000000,0,0.0
2022-12-01,LFONET,140771215366.47998,1428130981.6000006,39053477.070492156
2022-12-01,LSGNET,331181571838.3305,212923169403.83014,5822568252.649263
2022-12-01,OVDPp,399105849000,85456432201.00002,2336880061.063316
2018-01-01,LFOGRO,100915473143.23006,65386224539.18002,2329629281.0720882
2018-01-01,LSGGRO,422378870285.5302,318887453357.42,11361560541.896868
2018-02-01,LFOGRO,49941989593.53001,11539803694.299986,412006490.90137464
2018-02-01,LSGGRO,196902019303.72986,182532082922.7798,6516956869.819191
2018-03-01,LFOGRO,50566865192.740005,10500003746.569998,389636769.4733432
2018-03-01,LSGGRO,199266526833.26013,175050049035.35992,6495801072.887095
2018-04-01,LFOGRO,108467899743.55998,60970008105.780014,2296985106.887778
2018-04-01,LSGGRO,431475361095.8401,322214139016.83997,12139100871.797098
2018-05-01,LFOGRO,52814523054.92998,9647336962.839993,367797166.4648562
2018-05-01,LSGGRO,202706582371.9699,176884925953.5801,6743599275.80686
2018-06-01,LFOGRO,54807284255.28006,9372199537.770012,358596004.01127774
2018-06-01,LSGGRO,203874751125.32022,177607424054.49988,6795556613.152745
2018-07-01,LFOGRO,115349524266.73004,58517563496.310036,2234418406.3989034
2018-07-01,LSGGRO,429586311320.0602,322357133769.91,12308795344.408009
2018-08-01,LFOGRO,119025386357.27988,58575039498.65002,2189294374.496499
2018-08-01,LSGGRO,434871413700.3198,331598171981.63025,12393777600.942764
2018-09-01,LFOGRO,123928590462.37,68758014998.94005,2431378495.9346957
2018-09-01,LSGGRO,443326648181.3803,350665553195.0,12400018896.946217
2018-10-01,LFOGRO,126326675573.93991,67314176198.900024,2378738885.055906
2018-10-01,LSGGRO,448338683588.82965,364372582002.72925,12876147022.835884
2018-11-01,LFOGRO,129185188130.9101,66237511877.36998,2351813809.6412168
2018-11-01,LSGGRO,448420741193.06915,368258689503.72003,13075308038.421629
2018-12-01,LFOGRO,132373142740.54988,66298124695.43003,2335186625.6250405
2018-12-01,LSGGRO,450988783456.2992,378376284528.5302,13327363981.165884
2019-01-01,LFOGRO,133495760836.47002,58750167992.21,2121843680.492573
2019-01-01,LSGGRO,443826909932.50006,368125858133.3498,13295375186.156494
2019-02-01,LFOGRO,135144068702.99005,58660687209.19,2113477846.6337779
2019-02-01,LSGGRO,429639375233.23975,367733696195.70996,13249026858.461868
2019-03-01,LFOGRO,136910824646.86002,56477884167.38001,2092334233.2552543
2019-03-01,LSGGRO,429479972533.7794,352732080769.3396,13067653270.68172
2019-04-01,LFOGRO,140544822055.81982,56653376797.129974,2079117229.6113234
2019-04-01,LSGGRO,432660166547.86975,363779680560.0499,13350318099.18908
2019-05-01,LFOGRO,142555088300.74988,52622586634.49001,1976856314.1222024
2019-05-01,LSGGRO,437160329452.73987,357307332485.0009,13422853217.218699
2019-06-01,LFOGRO,146389777408.91022,52148095870.52997,1940569511.9157364
2019-06-01,LSGGRO,436014003714.8902,359196539789.45026,13366659745.959192
2019-07-01,LFOGRO,148433473043.59998,50005928440.23004,1911075380.625031
2019-07-01,LSGGRO,442493809666.63904,349590052337.41034,13360274734.86438
2019-08-01,LFOGRO,152094057570.08017,47551585660.42001,1895579331.930826
2019-08-01,LSGGRO,443840215177.22046,333352614010.73004,13288648876.536165
2019-09-01,LFOGRO,156126079366.67987,47379490952.36003,1877731829.048159
2019-09-01,LSGGRO,444986012650.2492,332525069587.42004,13178548240.389042
2019-10-01,LFOGRO,159379923752.59982,43346571529.82001,1799896828.0577257
2019-10-01,LSGGRO,441912176614.49976,315588661056.5202,13104312750.913721
2019-11-01,LFOGRO,162781742850.1398,44447324828.340004,1778218691.6691668
2019-11-01,LSGGRO,442340951642.4805,330934321781.0495,13239797872.620342
2019-12-01,LFOGRO,165559469554.05008,42155997785.44002,1753900116.2002566
